Comment,SampleNo.,Mineral,GrainNo.,Region,AnalysisNo.,SiO2,CaO,FeO,MnO,MgO,NiO,Na2O,Al2O3,Cr2O3,TiO2,K2O,CoO,V2O3,MgNo,Total
10A_random_02,10,grt,G2,,332,40.872,6.324,11.227,0.426,17.308,0,0.032,22.436,0.528,0.213,0.004,0,,73.31930529,99.37
10A_random_04,10,grt,G4,,334,40.943,6.499,11.271,0.423,17.196,0,0.037,22.316,0.58,0.203,0,0,,73.11529814,99.468
10A_random_01,10,grt,G1,,331,41.056,5.872,11.131,0.43,17.724,0,0.032,22.754,0.441,0.2,0.009,0.012,,73.94712343,99.661
10A_grt_G4,10,grt,G4,,1576,41.288,6.381,11.224,0.407,17.699,0.014,0.04,22.351,0.542,0.199,0.004,,0.03,73.75919949,100.179
10A_grt_G2,10,grt,G2,,1574,41.602,5.893,11.088,0.399,18.257,0.015,0.037,22.458,0.356,0.21,0,,0.03,74.58730722,100.345
10A_grt_G6,10,grt,G6,,1578,41.269,6.598,11.369,0.435,17.509,0.019,0.048,22.402,0.577,0.217,0,,0.016,73.2992973,100.459
10A_grt_G9,10,grt,G9,,1582,41.342,6.478,11.296,0.442,17.584,0,0.042,22.671,0.423,0.207,0,,0,73.50850108,100.485
10A_grt_G3,10,grt,G3,,1575,41.609,5.595,11.039,0.368,18.609,0,0.043,22.655,0.358,0.206,0,,0.023,75.03064459,100.505
10A_grt_G1,10,grt,G1,,1573,41.407,6.02,11.268,0.444,18.052,0.015,0.048,22.694,0.369,0.198,0,,0.012,74.06454689,100.527
10A_grt_G7,10,grt,G7,,1580,41.596,5.628,10.969,0.399,18.455,0,0.041,22.833,0.393,0.215,0.004,,0.002,74.99411941,100.535
10A_grt_G11,10,grt,G11,,1587,41.399,6.002,11.301,0.403,18.112,0.003,0.036,22.758,0.452,0.2,0.001,,0.029,74.07211168,100.696
10A_grt_G15,10,grt,G15,,1592,41.507,5.936,11.161,0.406,18.226,0,0.043,22.784,0.462,0.169,0.007,,0.011,74.43039487,100.712
10A_grt_G5,10,grt,G5,,1577,41.442,6.218,11.3,0.444,17.861,0.012,0.04,22.775,0.423,0.199,0,,0.06,73.80491048,100.774
10A_grt_G8,10,grt,G8,,1581,41.482,6.089,11.356,0.447,18.04,0.015,0.033,22.652,0.435,0.195,0,,0.034,73.90201013,100.778
10A_grt_G13,10,grt,G13,,1590,41.341,6.54,11.445,0.435,17.627,0,0.027,22.528,0.621,0.188,0.001,,0.045,73.30035772,100.798
10A_grt_G12,10,grt,G12,,1589,41.526,6.642,11.221,0.424,17.638,0.013,0.031,22.522,0.637,0.208,0.006,,0.033,73.69750416,100.901
