Comment,SampleNo.,Mineral,GrainNo.,Region,AnalysisNo.,SiO2,CaO,FeO,MnO,MgO,NiO,Na2O,Al2O3,Cr2O3,TiO2,K2O,CoO,V2O3,MgNo,Total,,
12_ol_NG23_Rim,12,ol,NG23,Rim,1550,40.039,0.106,7.808,0.101,50.051,0.387,0.026,0.034,0.089,0.009,0,,,91.95264384,98.65,MgOMM,40.3044
12_ol_NG23_Rim,12,ol,NG23,Rim,1550,40.039,0.106,7.808,0.101,50.051,0.387,0.026,0.034,0.089,0.009,0,,,91.95264384,98.65,FeOMM,71.844
12_olv_G2,12,olv,G2,Core,472,39.742,0.08,8.085,0.105,50.299,0.381,0.024,0.031,0.052,0.018,0.002,,,91.72845375,98.819,,
12_ol_NG27_Rim,12,ol,NG27,Rim,1554,40.029,0.107,7.888,0.087,50.276,0.371,0.024,0.028,0.068,0.027,0,,,91.91030158,98.905,,
12_ol_NG27_Rim,12,ol,NG27,Rim,1554,40.029,0.107,7.888,0.087,50.276,0.371,0.024,0.028,0.068,0.027,0,,,91.91030158,98.905,,
12_ol_NG21_Rim,12,ol,NG21,Rim,1548,40.047,0.092,7.933,0.092,50.31,0.392,0.02,0.033,0.04,0.02,0.006,,,91.87295304,98.985,,
12_ol_NG21_Rim,12,ol,NG21,Rim,1548,40.047,0.092,7.933,0.092,50.31,0.392,0.02,0.033,0.04,0.02,0.006,,,91.87295304,98.985,,
12_olv_G5,12,olv,G5,Core,475,39.796,0.091,8.063,0.09,50.655,0.378,0.019,0.043,0.052,0.027,0.001,,,91.80233748,99.215,,
12_olv_G6,12,olv,G6,Core,476,40,0.07,8.024,0.103,50.605,0.337,0.013,0.021,0.06,0.014,0.004,,,91.8313478,99.251,,
12_olv_G4,12,olv,G4,Core,474,39.916,0.07,8.089,0.101,50.755,0.365,0.021,0.033,0.044,0.01,0.004,,,91.7929464,99.408,,
12_olv_G14,12,olv,G14,Core,484,40.011,0.076,7.978,0.078,50.758,0.377,0.021,0.022,0.069,0.024,0.008,,,91.89688029,99.422,,
12_olv_G9,12,olv,G9,Core,479,40.021,0.089,7.986,0.099,50.735,0.409,0.021,0.026,0.069,0.017,0,,,91.88603536,99.472,,
12_olv_G12,12,olv,G12,Core,482,40.001,0.08,8.032,0.122,50.77,0.373,0.023,0.019,0.059,0.013,0.002,,,91.8482754,99.494,,
12_olv_G1,12,olv,G1,Core,471,40.081,0.08,7.957,0.111,50.771,0.386,0.02,0.041,0.054,0.013,0.001,,,91.918388,99.515,,
12_olv_G10,12,olv,G10,Core,480,40.167,0.082,7.993,0.08,50.713,0.37,0.025,0.037,0.04,0.019,0.002,,,91.87626414,99.528,,
