SampleNo.,Ol,Opx,Cpx,Ol Norm,Opx Norm,Cpx Norm,Spl,Grt,Phl,Amp,Srp/other alteration,%,Initial description,New classification,EPMA plan
10,0,0,42,0,0,100,1,40,15,0,2,100,"garnet lherzolite, locally with v. large 20 phlogopite",olivine orthopyroxenite,
12,48,0,6,88.88888889,0,11.11111111,3,8,0,0,35,100,"m.p. garnet Iherzolite, cpx rare",garnet wehrlite,
14,43,9,36,48.86363636,10.22727273,40.90909091,7,4,0,0,1,100,"Iherzolite, v. rare cpx",spinel lherzolite,
15,38,12,25,50.66666667,16,33.33333333,15,5,0,0,5,100,"Iherzolite, ga, sp (?)",olivine websterite,
17,43,37,10,47.77777778,41.11111111,11.11111111,5,0,0,0,5,100,"sp lherzolite, ",spinel lherzolite,
18,5,3,2,50,30,20,,10,,,80,100,"m.p. garnet lherzolite, ",garnet lherzolite,Garnet only.
19,15,3,5,65.2173913,13.04347826,21.73913043,0?,14,0,0,63,100,"garnet Iherzolite, coarse",garnet lherzolite,Garnet only.
20,35,29,12,46.05263158,38.15789474,15.78947368,4,3,10,5,2,100,"phlogopite lherzolite, ",olivine websterite,
26,39,31,13,46.98795181,37.34939759,15.6626506,5,10,0,0,2,100,"Iherzolite, coarse",olivine websterite,
28,30,15,5,60,30,10,0,6,0,0,44,100,"garnet Iherzolite, coarse",olivine clinopyroxenite,
33,60,23,2,70.58823529,27.05882353,2.352941176,0,15,0,0,,100,"garnet Iherzolite, mosaic, porphyoclastic",garnet harzburgite,
36,43,25,17,50.58823529,29.41176471,20,10,0,0,0,5,100,"harzburgite, coarse",spinel lherzolite,
37,45,17,30,48.91304348,18.47826087,32.60869565,5,1,0,0,2,100,"harzburgite, coarse",spinel lherzolite,
45,49,34,9,53.26086957,36.95652174,9.782608696,6,0,1,0,1,100,"phlogopite harzburgite, ",spinel lherzolite,
48,32,19,35,37.20930233,22.09302326,40.69767442,12,0,0,0,2,100,"Iherzolite, coarse",olivine websterite,
49,40,24,18,48.7804878,29.26829268,21.95121951,15,0,0,0,3,100,"Iherzolite, coarse",spinel lherzolite,
50,0,55,43,0,56.12244898,43.87755102,1,0,0,0,1,100,"Iherzolite, coarse",websterite,
53,45,18,29,48.91304348,19.56521739,31.52173913,5,0,0,0,3,100,"harzburgite, coarse",spinel lherzolite,
58,10,37,46,10.75268817,39.78494624,49.46236559,5,0,0,0,2,100,"websterite, w/oxide",olivine websterite,
