ID,SiO2(Wt%),TiO2(Wt%),Al2O3(Wt%),Cr2O3(Wt%),V2O3(Wt%),Fe2O3(Wt%),FeOT(Wt%),FeO(Wt%),CaO,MgO,MnO(Wt%),NiO,COO(Wt%),K2O(Wt%),Na2O(Wt%),P2O5(Wt%),MgNo,,
OL16583,39.91,0,0.13,0.6,,,9.87,,0.03,48.97,0,,,0,0,,89.84157535,MgOMM,40.3044
OL16584,40.81,0,0,0.07,,,8.47,,0.08,49.38,0.14,,,0,0.04,,91.22203145,FeOMM,71.844
OL16641,40.54,,,,,,11.16,,0.15,47.7,0.15,0.29,,,,,88.39759028,,
OL16642,38.45,,,,,,10.94,,0.21,49.76,0.18,0.44,,,,,89.02035658,,
OL16643,41.06,,,,,,10.79,,0.11,47.65,0.14,0.25,,,,,88.72845578,,
OL16644,38.38,,,,,,10.38,,0.05,49.53,0.17,0.42,,,,,89.47997362,,
OL16645,40.74,,,,,,9.17,,0.03,49.63,0.09,0.34,,,,,90.60808863,,
OL16646,40.81,,,,,,8.56,,,50.16,0.13,0.35,,,,,91.26280542,,
OL16647,39.2,0.01,,0.01,,,19.56,,0.12,40.7,0.22,0.2,,,,,78.76432951,,
OL16659,41.16,,,0.02,,,8.42,,0.15,50.15,0.37,0.24,,,,,91.39183636,,
OL17826,40.6,0,0,0.03,,,9.8,,0.13,49.2,0.16,0.48,,0,0,,89.94879192,,
OL2109,41,,,,,,8.54,,,49.87,0.15,0.43,,,,,91.23518386,,
OL2110,41.18,,,,,,8.3,,,50.14,0.15,0.3,,,,,91.50254466,,
OL2111,40.76,,,,,,9.06,,,48.92,0.18,0.38,,,,,90.58814806,,
OL2112,41.31,,,,,,8.01,,,50.96,0.18,0.23,,,,,91.89664768,,
OL17920,41,0.01,0.02,0.07,,,9.27,,0.08,49,0.16,,,0.01,0.02,,90.40513818,,
OL17921,41,0.01,0.02,0.02,,,8.93,,0.09,49.9,0.14,,,0.01,0.01,,90.87644301,,
OL18192,41.12,,,,,,8.64,,0.05,49.67,0.14,0.19,,,,,91.10914533,,
OL18193,41.9,,,,,,8.08,,0.1,49.18,0.37,0.08,,,,,91.56092291,,
OL18367,41.15,,,,,,9.16,,0.04,48.78,0.2,0.46,,,,,90.46945755,,
OL18368,41.28,,,,,,10.77,,0.13,48.1,0.28,0.5,,,,,88.84052647,,
OL18369,41.33,,,,,,9.18,,0.14,48.78,0.21,0.51,,,,,90.45063564,,
OL18370,41.66,,,,,,9.42,,0.12,49.85,0.25,0.44,,,,,90.41507851,,
OL18371,41.35,,,,,,9.22,,0.12,48.79,0.31,0.48,,,,,90.4147919,,
OL18372,40.88,,,,,,9.48,,0.11,48.88,0.25,0.42,,,,,90.18738232,,
OL18373,40.66,,,,,,9.46,,0.04,48.99,0.28,0.38,,,,,90.22589801,,
OL18374,40.08,,,,,,15.18,,0.12,44.06,0.18,0.35,,,,,83.8025556,,
OL18375,40.48,,,,,,14.77,,0.03,44.65,0.16,0.36,,,,,84.34721148,,
OL18376,39.13,,,,,,17.8,,0.04,41.78,0.21,0.47,,,,,80.70969018,,
OL18464,40.15,,,0.1,,,9.85,,0.04,48.8,0.15,0.35,,,,,89.82834202,,
